class,f1_score,precision,recall,support
    0,1.0,1.0,1.0,3.0
    1,1.0,1.0,1.0,2.0
    2,1.0,1.0,1.0,1.0
    3,1.0,1.0,1.0,6.0
    4,1.0,1.0,1.0,4.0
    5,1.0,1.0,1.0,4.0
    6,0.8,0.67,1.0,2.0
    7,0.0,0.0,0.0,0.0
    8,1.0,1.0,1.0,2.0
    9,0.5,0.5,0.5,2.0
   10,1.0,1.0,1.0,3.0
   11,1.0,1.0,1.0,3.0
   12,1.0,1.0,1.0,3.0
   13,1.0,1.0,1.0,3.0
   14,1.0,1.0,1.0,1.0
   15,0.67,1.0,0.5,2.0
   16,1.0,1.0,1.0,4.0
   17,1.0,1.0,1.0,3.0
   18,1.0,1.0,1.0,3.0
   20,1.0,1.0,1.0,3.0
   21,1.0,1.0,1.0,2.0
   22,1.0,1.0,1.0,3.0
   23,1.0,1.0,1.0,4.0
   24,1.0,1.0,1.0,4.0
   25,1.0,1.0,1.0,1.0
   27,1.0,1.0,1.0,3.0
   28,1.0,1.0,1.0,5.0
   29,1.0,1.0,1.0,5.0
   30,1.0,1.0,1.0,4.0
   31,1.0,1.0,1.0,2.0
   33,1.0,1.0,1.0,1.0
   34,0.67,1.0,0.5,2.0
   35,1.0,1.0,1.0,1.0
   36,1.0,1.0,1.0,1.0
   37,1.0,1.0,1.0,3.0
   38,1.0,1.0,1.0,2.0
   39,1.0,1.0,1.0,3.0
avg / total,0.97,0.98,0.97,100.0
